optID,contMultNum,contractStatus,contractType,currencyCD,deliDate,delistDate,exchangeCD,exerDate,expDate,expMonth,expYear,lastTradeDate,listDate,secID,secShortName,strikePrice,tickerSymbol,varExchangeCD,varSecID,varShortName,varTicker,varType
10000050,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-12,510050P1503M02500.XSHG,50ETF沽3月2500,2.5,510050P1503M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000051,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-12,510050C1504M02500.XSHG,50ETF购4月2500,2.5,510050C1504M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000052,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-12,510050P1504M02500.XSHG,50ETF沽4月2500,2.5,510050P1504M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000053,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-12,510050C1506M02500.XSHG,50ETF购6月2500,2.5,510050C1506M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000054,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-12,510050P1506M02500.XSHG,50ETF沽6月2500,2.5,510050P1506M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000055,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-12,510050C1509M02500.XSHG,50ETF购9月2500,2.5,510050C1509M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000056,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-12,510050P1509M02500.XSHG,50ETF沽9月2500,2.5,510050P1509M02500,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000057,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-27,510050C1503M02550.XSHG,50ETF购3月2550,2.55,510050C1503M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000058,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-27,510050P1503M02550.XSHG,50ETF沽3月2550,2.55,510050P1503M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000059,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-27,510050C1504M02550.XSHG,50ETF购4月2550,2.55,510050C1504M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
